,,,,,上限,原価,下限,,,,
,原価計算=>,,,,,,,,,,
,参考) Xignage-Lite,,◯,,99781,,96181,,,,
,参考) Xignage-Pro,,,◯,136661,,133661,,,,
,,,,,,,,,,,
カテゴリ,商品名,選択,,,単価(上限),,単価(下限),単位,入手先,販売ページ,
,,,,,,,,,,,
ボード,JetsonOrinNano DevKit (SUPER),FALSE,FALSE,TRUE,43890,43890,43890,1,菱用ダイレクト,https://ryoyo-direct.jp/shopping/jetson-orinnano/jetson-orinnanosuper,
,Raspberry Pi model 4 B,FALSE,TRUE,FALSE,9700,9700,9700,1,Amazon,https://www.amazon.co.jp/dp/B09TTNF8BT,
,,,,,,,,,,,
ボードケース,Raspberry Pi 4 model B ケース,FALSE,TRUE,FALSE,2000,1500,1500,1,Amazon,https://www.amazon.co.jp/dp/B07XCZCNFF?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,
,JetsonOrinNanoDevKitケース,FALSE,FALSE,FALSE,5500,5500,5500,1,Amazon,https://www.amazon.co.jp/dp/B0CVZVL47K,
,,,,,,,,,,,
ディスプレイ,タッチパネルディスプレイ,FALSE,TRUE,TRUE,30000,27000,27000,1,Amazon,https://www.amazon.co.jp/dp/B0CJJDR6Y9?th=1,
,,,,,,,,,,,
SSD/SD,SSD MZ-V8V500B,FALSE,FALSE,TRUE,9000,9000,9000,1,ツクモ電気,https://www.sofmap.com/product_detail.aspx?sku=21987828&gid=&utm_source=aff&utm_medium=kkc&eVar3=LSSPR,
,microSDカード 128GB,FALSE,TRUE,FALSE,2000,2000,2000,1,Amazon,https://www.amazon.co.jp/dp/B0B2DD66GS,
,,,,,,,,,, ,
付加回路,スーパーキャパシタUPS,FALSE,TRUE,TRUE,4100,4100,4100,1,Amazon,https://www.amazon.co.jp/dp/B0DS1C4JNR,
,電源ボタン,,,,,,,,Amazon,,
,ドングル,,TRUE,,850,850,850,1,ヨドバシ,https://www.yodobashi.com/product/100000001005757592/,
,CPUファン,,TRUE,,430,430,430,1,Amazon,https://www.amazon.co.jp/dp/B0876SSCJB?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,
,排気口ファン,,TRUE,TRUE,430,430,430,2,Amazon,https://www.amazon.co.jp/dp/B0876SSCJB?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,
,,,,,,,,,,,
コネクタ・ケーブル,USB typeCコネクタ,FALSE,TRUE,TRUE,650,650,650,2,Amazon,https://www.amazon.co.jp/dp/B0BYDLKFBV,
,HDMIコネクタ,FALSE,TRUE,TRUE,700,700,700,1,Amazon,https://www.amazon.co.jp/dp/B0CR32BMCK,
,HDMI-DPケーブル,FALSE,FALSE,TRUE,1300,1300,1300,1,Amazon,https://www.amazon.co.jp/dp/B015OW3M1W,
,microHDMI-HDMIケーブル 1m,FALSE,TRUE,FALSE,1600,1600,1600,1,Amazon,https://www.amazon.co.jp/dp/B00HQY7XIU,
,12v-USB typeAトリガーケーブル,FALSE,TRUE,TRUE,1680,1680,1680,1,千石電商,https://www.sengoku.co.jp/mod/sgk_cart/detail.php?code=EEHD-5WWE#,
,USB typeA-typeCケーブル,FALSE,TRUE,FALSE,600,500,500,1,Amazon,https://www.amazon.co.jp/dp/B01E33FF22?,
,USB typeC-typeCケーブル,FALSE,TRUE,TRUE,1400,1400,1400,1,Amazon,https://www.amazon.co.jp/dp/B0DK78VHTX,
,ドングル用USB typeA(メス)-typeC,FALSE,TRUE,TRUE,,,,1,,,
,ドングル用USB typeC(メス)-typeAコネクタ,,TRUE,TRUE,342,342,342,1,ヨドバシ,https://www.yodobashi.com/product/100000001004387718/?gad1=&gad2=g&gad3=&gad4=704586129024&gad5=9865716470447530875&gad6=&gad_campaignid=21438723322&gad_source=1&gbraid=0AAAAADvn-gujJnRrDni7nXkSaUPCPDLBt&gclid=Cj0KCQjw3OjGBhDYARIsADd-uX5GA0dzhS0pq5Uouf532DMsq7k2jIXoxgOQ7im-wXUdVvN-B6NCNtMaArPCEALw_wcB&xfr=pla,
,ジャンパワイヤー(赤/オス-メス),FALSE,TRUE,FALSE,30,30,30,,秋月電子,https://akizukidenshi.com/catalog/g/g108933/,
,ジャンパワイヤー(黒/オス-メス),FALSE,TRUE,FALSE,28,28,28,,秋月電子,https://akizukidenshi.com/catalog/g/g108932/,
,ジャンパワイヤー(黄/オス-メス),FALSE,TRUE,FALSE,28,28,28,,秋月電子,https://akizukidenshi.com/catalog/g/g108936/,
,ジャンパワイヤー(白/オス-メス),FALSE,TRUE,FALSE,22,22,22,,秋月電子,https://akizukidenshi.com/catalog/g/g108935/,
,ジャンパワイヤー(青/オス-メス),FALSE,TRUE,FALSE,22,22,22,,秋月電子,https://akizukidenshi.com/catalog/g/g108934/,
